DATASET_GRADIENT

SEPARATOR SPACE

DATASET_LABEL Isoelectric point means of cluster

COLOR #ff0000


STRIP_WIDTH 25

MARGIN 20

BORDER_WIDTH 0
BORDER_COLOR #0000ff

COLOR_MIN #ff0000
COLOR_MAX #0000ff

USE_MID_COLOR 1
COLOR_MID #ffff00

DATA
MtNCR247_cluster30654 9.545
Indigo_0000 8.391
Indigo_0800 7.254
Indigo_1990 8.459
Indigo_2490 4.518
Indigo_4640 10.05
Indigo_5310 7.943
indigo_dalbergioids_704_3203 5.804
LupAl_0000 9.96
LupAl_0000_3 8.173
LupAl_0000_4 8.994
LupAl_0090 8.621
LupAl_0110 7.518
LupAl_0330 7.732
LupAl_0580 6.371
LupAl_0730 7.64
LupAl_0730_2 5.827
LupAl_1520 4.272
LupAl_2490 4.459
LupAl_5310_2 7.551
LupLut_0000 8.95
LupLut0000_1026 7.732
LupLut0010 7.485
LupLut_0000_6 7.76
LupLut_0080 7.255
LupLut_0080_2 7.774
LupLut_1430 3.708
LupLut_2490 4.209
LupLut_5310_3 7.663
LupMar_0000_3 10.3
LupMar_1430 7.198
LupMar2700 7.323
LupMar0000_427 8.411
LupMar_5310_3 7.485
AeNCR_cluster3283 5.162
AhNCR13_cluster2284 5.832
AhNCR15_cluster587 5.816
AhNCR18_cluster5718 5.750
AhNCR3_cluster1664 5.928
AhNCR4_cluster3874 5.790
AhNCR5_cluster1868 6.050
CaNCR23_cluster155 6.831
CicerAr48_cluster27296 5.655
CicerArNCR04_cluster6969 6.187
CicerArNCR09_cluster34545 7.151
CicerArNCR10_cluster27532 6.641
CicerArNCR12_cluster19050 5.310
CicerArNCR17_cluster43015 6.833
CicerArNCR38_cluster26392 6.072
CicerArNCR49_cluster19691 6.027
MedsaNCR_cluster2999 9.545
MedtrNCR220_cluster6205 5.649
MsNCR_cluster10840 7.295
MsNCR_cluster11074 5.378
MsNCR_cluster11582 6.221
MsNCR_cluster11758 5.259
MsNCR_cluster13337 6.657
MsNCR_cluster15020 5.060
MsNCR_cluster1508 6.839
MsNCR_cluster15308 5.955
MsNCR_cluster16466 8.688
MsNCR_cluster1697 6.421
MsNCR_cluster17349 7.473
MsNCR_cluster17938 5.961
MsNCR_cluster18055 7.676
MsNCR_cluster18607 7.908
MsNCR_cluster19278 4.858
MsNCR_cluster20927 7.066
MsNCR_cluster20968 4.628
MsNCR_cluster21485 5.583
MsNCR_cluster21943 8.010
MsNCR_cluster2209 9.900
MsNCR_cluster22137 8.329
MsNCR_cluster2218 7.580
MsNCR_cluster22309 8.168
MsNCR_cluster22625 6.787
MsNCR_cluster22659 3.789
MsNCR_cluster22974 3.783
MsNCR_cluster22982 4.07
MsNCR_cluster23199 5.527
MsNCR_cluster23314 7.770
MsNCR_cluster23349 7.620
MsNCR_cluster23764 7.463
MsNCR_cluster23812 6.953
MsNCR_cluster24015 5.412
MsNCR_cluster24094 7.549
MsNCR_cluster24102 6.944
MsNCR_cluster24212 8.446
MsNCR_cluster24478 8.639
MsNCR_cluster25461 6.931
MsNCR_cluster26170 8.214
MsNCR_cluster26485 6.851
MsNCR_cluster26517 4.875
MsNCR_cluster26545 8.625
MsNCR_cluster26661 4.875
MsNCR_cluster27001 7.863
MsNCR_cluster27698 7.327
MsNCR_cluster28101 8.953
MsNCR_cluster28159 8.380
MsNCR_cluster28495 7.671
MsNCR_cluster28737 7.495
MsNCR_cluster28997 8.722
MsNCR_cluster29039 3.887
MsNCR_cluster29058 6.456
MsNCR_cluster29209 7.987
MsNCR_cluster29334 5.433
MsNCR_cluster29698 6.012
MsNCR_cluster30071 7.295
MsNCR_cluster30202 9.150
MsNCR_cluster30305 5.148
MsNCR_cluster30391 4.447
MsNCR_cluster3095 4.870
MsNCR_cluster31201 6.164
MsNCR_cluster31382 7.996
MsNCR_cluster31617 7.215
MsNCR_cluster31883 5.825
MsNCR_cluster32966 4.983
MsNCR_cluster33266 8.347
MsNCR_cluster33574 8.182
MsNCR_cluster33768 4.218
MsNCR_cluster34653 5.039
MsNCR_cluster34666 6.179
MsNCR_cluster34863 8.409
MsNCR_cluster34869 9.143
MsNCR_cluster35314 6.762
MsNCR_cluster35644 8.797
MsNCR_cluster36247 8.416
MsNCR_cluster36391 6.269
MsNCR_cluster36444 3.090
MsNCR_cluster3648 6.426
MsNCR_cluster36589 7.578
MsNCR_cluster36898 6.768
MsNCR_cluster36951 7.889
MsNCR_cluster37117 7.501
MsNCR_cluster37145 5.176
MsNCR_cluster3720 6.411
MsNCR_cluster37414 5.647
MsNCR_cluster37445 5.236
MsNCR_cluster37479 6.632
MsNCR_cluster37520 7.130
MsNCR_cluster37569 6.270
MsNCR_cluster38049 6.802
MsNCR_cluster38051 6.033
MsNCR_cluster38751 8.174
MsNCR_cluster39219 5.666
MsNCR_cluster39250 4.031
MsNCR_cluster39549 5.868
MsNCR_cluster39552 7.391
MsNCR_cluster39624 4.249
MsNCR_cluster40932_sing 4.064
MsNCR_cluster40952 7.842
MsNCR_cluster41097 6.518
MsNCR_cluster43351 8.277
MsNCR_cluster43641_sing 4.136
MsNCR_cluster45606 6.872
MsNCR_cluster45616 5.113
MsNCR_cluster47393 3.952
MsNCR_cluster47568 4.384
MsNCR_cluster47613 4.937
MsNCR_cluster48223 9.644
MsNCR_cluster48482 5.305
MsNCR_cluster48899 3.663
MsNCR_cluster49327 5.220
MsNCR_cluster4953 8.395
MsNCR_cluster49684 7.090
MsNCR_cluster50779 9.677
MsNCR_cluster50827 5.736
MsNCR_cluster50916 7.375
MsNCR_cluster51433 6.231
MsNCR_cluster51446 7.691
MsNCR_cluster51597 8.309
MsNCR_cluster51802 6.883
MsNCR_cluster51973 6.623
MsNCR_cluster51994 8.282
MsNCR_cluster52022 7.852
MsNCR_cluster5202 6.747
MsNCR_cluster52112 4.385
MsNCR_cluster52116 7.278
MsNCR_cluster52221 5.325
MsNCR_cluster52253 8.187
MsNCR_cluster52269 6.700
MsNCR_cluster52725 8.220
MsNCR_cluster52831 8.391
MsNCR_cluster52946 8.058
MsNCR_cluster54357 4.468
MsNCR_cluster55131 4.120
MsNCR_cluster55489 5.371
MsNCR_cluster56008 7.222
MsNCR_cluster5804 8.877
MsNCR_cluster5830 6.412
MsNCR_Cluster6251 4.597
MsNCR_Cluster6882 5.737
MsNCR_cluster800 6.598
MsNCR_cluster9294 8.674
MsNCR_cluster9321 4.683
MtNCR067_cluster4973 7.909
MtNCR116_cluster23280 6.111
MtNCR118_cluster16241 7.557
MtNCR119a_cluster22925 8.971
MtNCR11_cluster17260 6.879
MtNCR126_cluster22779 5.461
MtNCR129_cluster29287 4.519
MtNCR133_cluster51311 7.074
MtNCR141_cluster50805 8.650
MtNCR144_cluster18099 8.943
MtNCR149_cluster23706 7.788
MtNCR152_cluster17022 5.717
MtNCR175_cluster10366 6.355
MtNCR177_cluster11647 4.594
MtNCR200_cluster12251 7.444
MtNCR208_cluster40851 7.248
MtNCR215b_cluster22453 4.576
MtNCR225_cluster16243 4.474
MtNCR235_cluster31198 4.241
MtNCR23_cluster42951 7.165
MtNCR244_cluster17171 5.086
MtNCR25_cluster37911 4.727
MtNCR261_cluster50860 5.962
MtNCR297_cluster16949 7.818
MtNCR29_cluster45018 7.065
MtNCR305b_cluster35987_sing 5.665
MtNCR310_cluster49388 6.642
MtNCR321_cluster11386 7.600
MtNCR336_cluster2621 7.144
MtNCR345_cluster40951 5.613
MtNCR357_cluster18450 5.576
MtNCR361_cluster28583 8.695
MtNCR365_cluster37113 5.828
MtNCR376_cluster24157 5.359
MtNCR379_cluster31770 4.977
MtNCR383_cluster27455 4.023
MtNCR386_cluster20675 5.489
MtNCR387_cluster49292 5.770
MtNCR405_cluster23219 8.391
MtNCR411_cluster36263 7.800
MtNCR423_cluster33629 7.924
MtNCR429_cluster51837 4.769
MtNCR432_cluster36448 7.573
MtNCR434_cluster37419 8.562
MtNCR440_cluster40947 5.388
MtNCR444_cluster29383 5.186
MtNCR447_cluster42177 6.432
MtNCR460_cluster37176 5.193
MtNCR477_cluster40949 7.832
MtNCR48_cluster37403 9.296
MtNCR490_cluster23780 9.332
MtNCR498_cluster23094 4.726
MtNCR527_cluster29222_sing 6.353
MtNCR52_cluster28804 9.232
MtNCR535_cluster35071 6.871
MtNCR538_cluster28419 4.700
MtNCR539_cluster52415 6.612
MtNCR540_cluster24066 5.905
MtNCR541_cluster19590 4.800
MtNCR549_cluster25322 6.353
MtNCR554_cluster7386 5.581
MtNCR564_cluster28114 4.716
MtNCR570_cluster24450 7.206
MtNCR573_cluster50756 5.756
MtNCR577_cluster22040 6.630
MtNCR587_cluster24039 7.808
MtNCR5_cluster29687 5.215
MtNCR611_cluster29571_sing 9.979
MtNCR62_cluster15127 5.706
MtNCR63_cluster25930 5.899
MtNCR640_cluster17146 4.046
MtNCR642_cluster31376 4.523
MtNCR643_cluster30566 5.659
MtNCR645_cluster16376 6.248
MtNCR647_cluster26866 5.035
MtNCR649_cluster21127 7.032
MtNCR654_cluster29016 8.946
MtNCR65_cluster34742 6.141
MtNCR660_cluster26661 4.875
MtNCR670_cluster52576 7.306
MtNCR683_cluster37523 5.066
MtNCR685_cluster18614 4.280
MtNCR701_cluster51485 3.800
MtNCR705_cluster50849 6.840
MtNCR723_cluster11778 9.391
MtNCR725_cluster52625 4.684
MtNCR728_cluster27085 9.093
MtNCR737_cluster41062 5.154
MtNCR73_cluster50853 8.267
MtNCR78_cluster23778 7.569
MtNCR80_cluster51242 8.227
MtNCR88_cluster34103 5.693
MtNCR8_cluster2111 5.801
MtNCR90_cluster35852 6.978
MtNCR92_cluster34566 7.888
MtNCR95_cluster22648 5.484
MtNCR98_cluster29062 7.467
MtNCRnew11_cluster19372 5.131
MtNCRnew12_cluster35318 7.558
MtNCRnew16_cluster26140 8.985
MtNCRnew20_Cluster6458 4.574
MtNCRnew21_cluster21235 5.633
MtNCRnew26_cluster29895 6.784
MtNCRnew34_cluster44969 8.281
MtNCRnew36_cluster47574 5.374
MtNCRnew37_cluster2923 5.760
MtNCRnew38_cluster29649 9.265
MtNCRnew39_cluster11553 5.470
MtNCRnew40_cluster23529 6.224
MtNCRnew48_cluster15580 5.896
