DATASET_MULTIBAR

SEPARATOR TAB

DATASET_LABEL	NCR motif

COLOR	#ff0000

WIDTH	400

MARGIN	50

SHOW_INTERNAL	0

HEIGHT_FACTOR	1.6

BAR_SHIFT	0
DATASET_SCALE	20-20 NCRs-#6aa84f-1-0-8	82-82 NCRs-#ff0000-1-1-8


ALIGN_FIELDS	0
FIELD_LABELS	Motif 4C	Motif 6C	Motif 8C
FIELD_COLORS	#e69138	#6aa84f	#f44336
#DATASET_SCALE	20	30	80

LEGEND_TITLE	Motif of NCRs
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#e69138	#6aa84f	#f44336
LEGEND_LABELS	4C	6C	8C

DATA
MtNCR247_cluster30654	5	0	0
Indigo_0000	0	0	1
Indigo_0800	0	0	1
Indigo_1990	1	0	0
Indigo_2490	0	1	0
Indigo_4640	1	0	0
Indigo_5310	0	0	1
indigo_dalbergioids_704_3203	1	1	18
LupAl_0000	0	0	1
LupAl_0000_3	0	0	1
LupAl_0000_4	0	0	1
LupAl_0090	0	0	1
LupAl_0110	0	0	1
LupAl_0330	0	0	1
LupAl_0580	0	0	1
LupAl_0730	0	1	0
LupAl_0730_2	0	1	0
LupAl_1520	0	1	0
LupAl_2490	0	1	0
LupAl_5310_2	0	0	1
LupLut_0000	0	0	1
LupLut0000_1026	0	0	1
LupLut0010	0	0	1
LupLut_0000_6	0	0	1
LupLut_0080	0	0	1
LupLut_0080_2	0	0	1
LupLut_1430	0	1	0
LupLut_2490	0	1	0
LupLut_5310_3	0	0	1
LupMar_0000_3	0	0	1
LupMar_1430	0	0	1
LupMar2700	0	0	1
LupMar0000_427	0	0	1
LupMar_5310_3	0	0	1
AeNCR_cluster3283	0	1	7
AhNCR13_cluster2284	0	0	7
AhNCR15_cluster587	0	1	18
AhNCR18_cluster5718	0	0	5
AhNCR3_cluster1664	1	0	9
AhNCR4_cluster3874	0	1	6
AhNCR5_cluster1868	0	0	5
CaNCR23_cluster155	18	53	1
CicerAr48_cluster27296	3	15	0
CicerArNCR04_cluster6969	0	8	1
CicerArNCR09_cluster34545	16	0	0
CicerArNCR10_cluster27532	0	9	0
CicerArNCR12_cluster19050	13	1	0
CicerArNCR17_cluster43015	0	3	0
CicerArNCR38_cluster26392	1	3	1
CicerArNCR49_cluster19691	1	10	0
MedsaNCR_cluster2999	23	1	0
MedtrNCR220_cluster6205	5	0	0
MsNCR_cluster10840	4	0	0
MsNCR_cluster11074	7	0	0
MsNCR_cluster11582	1	4	2
MsNCR_cluster11758	5	3	4
MsNCR_cluster13337	23	1	0
MsNCR_cluster15020	4	1	0
MsNCR_cluster1508	24	3	0
MsNCR_cluster15308	0	3	0
MsNCR_cluster16466	3	0	0
MsNCR_cluster1697	32	7	0
MsNCR_cluster17349	9	0	0
MsNCR_cluster17938	0	6	0
